Barcode	Count	Location
unmatched	369651	results/trezende/RC1/RC1/split1/RC1unmatched.fasta
total	654582
Barcode	Count	Location
P01	0	results/trezende/RC1/RC1/split1/split2/RC1A01P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1A01P02.fasta
P03	0	results/trezende/RC1/RC1/split1/split2/RC1A01P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1A01P04.fasta
P05	0	results/trezende/RC1/RC1/split1/split2/RC1A01P05.fasta
P06	0	results/trezende/RC1/RC1/split1/split2/RC1A01P06.fasta
P07	1842	results/trezende/RC1/RC1/split1/split2/RC1A01P07.fasta
P08	0	results/trezende/RC1/RC1/split1/split2/RC1A01P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1A01P09.fasta
P10	1815	results/trezende/RC1/RC1/split1/split2/RC1A01P10.fasta
P11	335	results/trezende/RC1/RC1/split1/split2/RC1A01P11.fasta
P12	0	results/trezende/RC1/RC1/split1/split2/RC1A01P12.fasta
P13	0	results/trezende/RC1/RC1/split1/split2/RC1A01P13.fasta
P14	0	results/trezende/RC1/RC1/split1/split2/RC1A01P14.fasta
P15	0	results/trezende/RC1/RC1/split1/split2/RC1A01P15.fasta
P16	0	results/trezende/RC1/RC1/split1/split2/RC1A01P16.fasta
unmatched	38	results/trezende/RC1/RC1/split1/split2/RC1A01unmatched.fasta
total	4030
Barcode	Count	Location
P01	0	results/trezende/RC1/RC1/split1/split2/RC1A02P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1A02P02.fasta
P03	0	results/trezende/RC1/RC1/split1/split2/RC1A02P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1A02P04.fasta
P05	0	results/trezende/RC1/RC1/split1/split2/RC1A02P05.fasta
P06	0	results/trezende/RC1/RC1/split1/split2/RC1A02P06.fasta
P07	881	results/trezende/RC1/RC1/split1/split2/RC1A02P07.fasta
P08	1	results/trezende/RC1/RC1/split1/split2/RC1A02P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1A02P09.fasta
P10	606	results/trezende/RC1/RC1/split1/split2/RC1A02P10.fasta
P11	119	results/trezende/RC1/RC1/split1/split2/RC1A02P11.fasta
P12	0	results/trezende/RC1/RC1/split1/split2/RC1A02P12.fasta
P13	0	results/trezende/RC1/RC1/split1/split2/RC1A02P13.fasta
P14	0	results/trezende/RC1/RC1/split1/split2/RC1A02P14.fasta
P15	0	results/trezende/RC1/RC1/split1/split2/RC1A02P15.fasta
P16	0	results/trezende/RC1/RC1/split1/split2/RC1A02P16.fasta
unmatched	17	results/trezende/RC1/RC1/split1/split2/RC1A02unmatched.fasta
total	1624
Barcode	Count	Location
P01	0	results/trezende/RC1/RC1/split1/split2/RC1A03P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1A03P02.fasta
P03	0	results/trezende/RC1/RC1/split1/split2/RC1A03P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1A03P04.fasta
P05	0	results/trezende/RC1/RC1/split1/split2/RC1A03P05.fasta
P06	3	results/trezende/RC1/RC1/split1/split2/RC1A03P06.fasta
P07	16	results/trezende/RC1/RC1/split1/split2/RC1A03P07.fasta
P08	0	results/trezende/RC1/RC1/split1/split2/RC1A03P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1A03P09.fasta
P10	1467	results/trezende/RC1/RC1/split1/split2/RC1A03P10.fasta
P11	0	results/trezende/RC1/RC1/split1/split2/RC1A03P11.fasta
P12	0	results/trezende/RC1/RC1/split1/split2/RC1A03P12.fasta
P13	0	results/trezende/RC1/RC1/split1/split2/RC1A03P13.fasta
P14	0	results/trezende/RC1/RC1/split1/split2/RC1A03P14.fasta
P15	0	results/trezende/RC1/RC1/split1/split2/RC1A03P15.fasta
P16	0	results/trezende/RC1/RC1/split1/split2/RC1A03P16.fasta
unmatched	5	results/trezende/RC1/RC1/split1/split2/RC1A03unmatched.fasta
total	1491
Barcode	Count	Location
P01	0	results/trezende/RC1/RC1/split1/split2/RC1A04P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1A04P02.fasta
P03	0	results/trezende/RC1/RC1/split1/split2/RC1A04P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1A04P04.fasta
P05	0	results/trezende/RC1/RC1/split1/split2/RC1A04P05.fasta
P06	0	results/trezende/RC1/RC1/split1/split2/RC1A04P06.fasta
P07	34	results/trezende/RC1/RC1/split1/split2/RC1A04P07.fasta
P08	0	results/trezende/RC1/RC1/split1/split2/RC1A04P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1A04P09.fasta
P10	1771	results/trezende/RC1/RC1/split1/split2/RC1A04P10.fasta
P11	683	results/trezende/RC1/RC1/split1/split2/RC1A04P11.fasta
P12	0	results/trezende/RC1/RC1/split1/split2/RC1A04P12.fasta
P13	0	results/trezende/RC1/RC1/split1/split2/RC1A04P13.fasta
P14	0	results/trezende/RC1/RC1/split1/split2/RC1A04P14.fasta
P15	0	results/trezende/RC1/RC1/split1/split2/RC1A04P15.fasta
P16	0	results/trezende/RC1/RC1/split1/split2/RC1A04P16.fasta
unmatched	28	results/trezende/RC1/RC1/split1/split2/RC1A04unmatched.fasta
total	2516
Barcode	Count	Location
P01	0	results/trezende/RC1/RC1/split1/split2/RC1A05P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1A05P02.fasta
P03	0	results/trezende/RC1/RC1/split1/split2/RC1A05P03.fasta
P04	0	results/trezende/RC1/RC1/split1/split2/RC1A05P04.fasta
P05	0	results/trezende/RC1/RC1/split1/split2/RC1A05P05.fasta
P06	0	results/trezende/RC1/RC1/split1/split2/RC1A05P06.fasta
P07	1877	results/trezende/RC1/RC1/split1/split2/RC1A05P07.fasta
P08	0	results/trezende/RC1/RC1/split1/split2/RC1A05P08.fasta
P09	0	results/trezende/RC1/RC1/split1/split2/RC1A05P09.fasta
P10	1788	results/trezende/RC1/RC1/split1/split2/RC1A05P10.fasta
P11	364	results/trezende/RC1/RC1/split1/split2/RC1A05P11.fasta
P12	0	results/trezende/RC1/RC1/split1/split2/RC1A05P12.fasta
P13	0	results/trezende/RC1/RC1/split1/split2/RC1A05P13.fasta
P14	0	results/trezende/RC1/RC1/split1/split2/RC1A05P14.fasta
P15	0	results/trezende/RC1/RC1/split1/split2/RC1A05P15.fasta
P16	0	results/trezende/RC1/RC1/split1/split2/RC1A05P16.fasta
unmatched	22	results/trezende/RC1/RC1/split1/split2/RC1A05unmatched.fasta
total	4051
Barcode	Count	Location
P01	0	results/trezende/RC1/RC1/split1/split2/RC1A06P01.fasta
P02	0	results/trezende/RC1/RC1/split1/split2/RC1A06P02.fasta
