Barcode	Count	Location
H07	9	results/trezende/Angelina/AB220418/split1/AB220418H07.fasta
H08	11	results/trezende/Angelina/AB220418/split1/AB220418H08.fasta
H09	24	results/trezende/Angelina/AB220418/split1/AB220418H09.fasta
H10	15	results/trezende/Angelina/AB220418/split1/AB220418H10.fasta
H11	11	results/trezende/Angelina/AB220418/split1/AB220418H11.fasta
H12	15	results/trezende/Angelina/AB220418/split1/AB220418H12.fasta
unmatched	802872	results/trezende/Angelina/AB220418/split1/AB220418unmatched.fasta
total	839377
Barcode	Count	Location
P01	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P01.fasta
P02	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P02.fasta
P03	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P03.fasta
P04	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P04.fasta
P05	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P05.fasta
P06	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P06.fasta
P07	4	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P07.fasta
P08	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P08.fasta
P09	6	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P09.fasta
P10	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P10.fasta
P11	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P11.fasta
P12	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P12.fasta
P13	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P13.fasta
P14	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P14.fasta
P15	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P15.fasta
P16	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01P16.fasta
unmatched	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A01unmatched.fasta
total	18
Barcode	Count	Location
P01	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P01.fasta
P02	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P02.fasta
P03	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P03.fasta
P04	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P04.fasta
P05	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P05.fasta
P06	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P06.fasta
P07	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P07.fasta
P08	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P08.fasta
P09	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P09.fasta
P10	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P10.fasta
P11	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P11.fasta
P12	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P12.fasta
P13	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P13.fasta
P14	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P14.fasta
P15	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P15.fasta
P16	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A02P16.fasta
unmatched	5129	results/trezende/Angelina/AB220418/split1/split2/AB220418A02unmatched.fasta
total	5145
Barcode	Count	Location
P01	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A03P01.fasta
P02	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A03P02.fasta
P03	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A03P03.fasta
P04	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A03P04.fasta
P05	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A03P05.fasta
P06	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A03P06.fasta
P07	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A03P07.fasta
P08	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A03P08.fasta
P09	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A03P09.fasta
P10	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A03P10.fasta
P11	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A03P11.fasta
P12	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A03P12.fasta
P13	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A03P13.fasta
P14	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A03P14.fasta
P15	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A03P15.fasta
P16	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A03P16.fasta
unmatched	5715	results/trezende/Angelina/AB220418/split1/split2/AB220418A03unmatched.fasta
total	5731
Barcode	Count	Location
P01	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A04P01.fasta
P02	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A04P02.fasta
P03	4	results/trezende/Angelina/AB220418/split1/split2/AB220418A04P03.fasta
P04	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A04P04.fasta
P05	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A04P05.fasta
P06	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A04P06.fasta
P07	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A04P07.fasta
P08	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A04P08.fasta
P09	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A04P09.fasta
P10	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A04P10.fasta
P11	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A04P11.fasta
P12	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A04P12.fasta
P13	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A04P13.fasta
P14	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A04P14.fasta
P15	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A04P15.fasta
P16	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A04P16.fasta
unmatched	6525	results/trezende/Angelina/AB220418/split1/split2/AB220418A04unmatched.fasta
total	6539
Barcode	Count	Location
P01	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A05P01.fasta
P02	4	results/trezende/Angelina/AB220418/split1/split2/AB220418A05P02.fasta
P03	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A05P03.fasta
P04	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A05P04.fasta
P05	5	results/trezende/Angelina/AB220418/split1/split2/AB220418A05P05.fasta
P06	4	results/trezende/Angelina/AB220418/split1/split2/AB220418A05P06.fasta
P07	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A05P07.fasta
P08	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A05P08.fasta
P09	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A05P09.fasta
P10	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A05P10.fasta
P11	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A05P11.fasta
P12	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A05P12.fasta
P13	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A05P13.fasta
P14	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A05P14.fasta
P15	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A05P15.fasta
P16	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A05P16.fasta
unmatched	6198	results/trezende/Angelina/AB220418/split1/split2/AB220418A05unmatched.fasta
total	6219
Barcode	Count	Location
P01	3	results/trezende/Angelina/AB220418/split1/split2/AB220418A06P01.fasta
P02	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A06P02.fasta
P03	6	results/trezende/Angelina/AB220418/split1/split2/AB220418A06P03.fasta
P04	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A06P04.fasta
P05	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A06P05.fasta
P06	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A06P06.fasta
P07	2	results/trezende/Angelina/AB220418/split1/split2/AB220418A06P07.fasta
P08	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A06P08.fasta
P09	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A06P09.fasta
P10	1	results/trezende/Angelina/AB220418/split1/split2/AB220418A06P10.fasta
P11	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A06P11.fasta
P12	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A06P12.fasta
P13	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A06P13.fasta
P14	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A06P14.fasta
P15	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A06P15.fasta
P16	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A06P16.fasta
unmatched	6625	results/trezende/Angelina/AB220418/split1/split2/AB220418A06unmatched.fasta
total	6644
Barcode	Count	Location
P01	0	results/trezende/Angelina/AB220418/split1/split2/AB220418A07P01.fasta
P02	5	results/trezende/Angelina/AB220418/split1/split2/AB220418A07P02.fasta
